intersection_key,Latitude,Longitude,rank_SW,rank_SA,rank_delta_SA_minus_SW
LUBBOCK|LUBBOCK|33.5065|-101.8703||UNIVERSITY AVENUE,33.5065,-101.8703,1312.0,4610.0,3298.0
LUBBOCK|LUBBOCK|33.5070|-101.8784|96TH STREET|ELGIN AVENUE,33.507,-101.8784,4152.0,1437.0,-2715.0
LUBBOCK|LUBBOCK|33.5070|-101.9659|96TH STREET|QUINCY AVENUE,33.507,-101.9659,4152.0,3073.0,-1079.0
LUBBOCK|LUBBOCK|33.5071|-101.8704|96TH STREET|UNIVERSITY AVENUE,33.5071,-101.8704,4152.0,5022.0,870.0
LUBBOCK|LUBBOCK|33.5079|-101.8656||95TH STREET,33.5079,-101.8656,4152.0,4297.0,145.0
LUBBOCK|LUBBOCK|33.5081|-101.9045|95TH STREET|QUAKER AVENUE,33.5081,-101.9045,390.5,5402.0,5011.5
LUBBOCK|LUBBOCK|33.5082|-101.9045||QUAKER AVENUE,33.5082,-101.9045,99.0,175.0,76.0
LUBBOCK|LUBBOCK|33.5084|-101.8735|94TH STREET|BOSTON AVENUE,33.5084,-101.8735,1312.0,4592.0,3280.0
LUBBOCK|LUBBOCK|33.5084|-101.8877|INDIANA AVENUE|INDIANA AVENUE,33.5084,-101.8877,4152.0,4136.0,-16.0
LUBBOCK|LUBBOCK|33.5087|-101.8751|95TH STREET|BELTON AVENUE,33.5087,-101.8751,4152.0,3289.0,-863.0
LUBBOCK|LUBBOCK|33.5091|-101.9050||QUAKER AVENUE,33.5091,-101.905,4152.0,3583.0,-569.0
LUBBOCK|LUBBOCK|33.5092|-101.9744|93RD STREET|UPLAND AVENUE,33.5092,-101.9744,4152.0,3797.0,-355.0
LUBBOCK|LUBBOCK|33.5093|-101.9744||UPLAND AVENUE,33.5093,-101.9744,4152.0,4368.0,216.0
LUBBOCK|LUBBOCK|33.5094|-101.9224|93RD STREET|SLIDE ROAD,33.5094,-101.9224,4152.0,5164.0,1012.0
LUBBOCK|LUBBOCK|33.5094|-101.9744|93RD STREET|UPLAND AVENUE,33.5094,-101.9744,4152.0,1677.0,-2475.0
LUBBOCK|LUBBOCK|33.5094|-101.9744||UPLAND AVENUE,33.5094,-101.9744,4152.0,2017.0,-2135.0
LUBBOCK|LUBBOCK|33.5096|-101.8704|93RD PL|UNIVERSITY AVENUE,33.5096,-101.8704,1312.0,3191.0,1879.0
LUBBOCK|LUBBOCK|33.5097|-101.9570||MILWAUKEE AVENUE,33.5097,-101.957,4152.0,2966.0,-1186.0
LUBBOCK|LUBBOCK|33.5100|-101.9224||SLIDE ROAD,33.51,-101.9224,4152.0,3966.0,-186.0
LUBBOCK|LUBBOCK|33.5100|-101.9396|92ND STREET|FRANKFORD AVENUE,33.51,-101.9396,2031.5,341.0,-1690.5
LUBBOCK|LUBBOCK|33.5100|-101.9504|92ND STREET|JUNEAU AVENUE,33.51,-101.9504,4152.0,4076.0,-76.0
LUBBOCK|LUBBOCK|33.5100|-101.9505||92ND STREET,33.51,-101.9505,4152.0,1820.0,-2332.0
LUBBOCK|LUBBOCK|33.5100|-101.9550|92ND STREET|LA SALLE AVENUE,33.51,-101.955,4152.0,2905.0,-1247.0
LUBBOCK|LUBBOCK|33.5100|-101.9570|92ND STREET|MILWAUKEE AVENUE,33.51,-101.957,4152.0,2572.0,-1580.0
LUBBOCK|LUBBOCK|33.5100|-101.9583||92ND STREET,33.51,-101.9583,4152.0,3044.0,-1108.0
LUBBOCK|LUBBOCK|33.5101|-101.8877|93RD STREET|INDIANA AVENUE,33.5101,-101.8877,4152.0,5333.0,1181.0
LUBBOCK|LUBBOCK|33.5101|-101.9050|93RD DRIVE|QUAKER AVENUE,33.5101,-101.905,2031.5,392.0,-1639.5
LUBBOCK|LUBBOCK|33.5103|-101.8704||UNIVERSITY AVENUE,33.5103,-101.8704,1312.0,3886.0,2574.0
LUBBOCK|LUBBOCK|33.5103|-101.8965||93RD STREET,33.5103,-101.8965,4152.0,4201.0,49.0
LUBBOCK|LUBBOCK|33.5104|-101.8704|UNIVERSITY AVENUE|UNIVERSITY AVENUE,33.5104,-101.8704,390.5,2302.0,1911.5
LUBBOCK|LUBBOCK|33.5105|-101.8735||BELTON AVENUE,33.5105,-101.8735,4152.0,5240.0,1088.0
LUBBOCK|LUBBOCK|33.5105|-101.9917||ALCOVE AVENUE,33.5105,-101.9917,4152.0,3087.0,-1065.0
LUBBOCK|LUBBOCK|33.5107|-101.8704||UNIVERSITY AVENUE,33.5107,-101.8704,1312.0,3493.0,2181.0
LUBBOCK|LUBBOCK|33.5109|-101.8784|92ND STREET|ELGIN AVENUE,33.5109,-101.8784,4152.0,3981.0,-171.0
LUBBOCK|LUBBOCK|33.5109|-101.8863||92ND STREET,33.5109,-101.8863,4152.0,4212.0,60.0
LUBBOCK|LUBBOCK|33.5109|-101.9597||91ST PL,33.5109,-101.9597,4152.0,4195.0,43.0
LUBBOCK|LUBBOCK|33.5110|-101.8805|92ND STREET|FLINT AVENUE,33.511,-101.8805,4152.0,3102.0,-1050.0
LUBBOCK|LUBBOCK|33.5111|-101.9282||91ST STREET,33.5111,-101.9282,4152.0,4595.0,443.0
LUBBOCK|LUBBOCK|33.5112|-101.8704|92ND STREET|UNIVERSITY AVENUE,33.5112,-101.8704,4152.0,2996.0,-1156.0
LUBBOCK|LUBBOCK|33.5112|-101.8704||UNIVERSITY AVENUE,33.5112,-101.8704,4152.0,2967.0,-1185.0
